"DateTime","(deg F) Mean Temperature (CFSR) at Wisconsin, 2010-01-01 to 2019-03-14"
"2011-12-08:12 AM",21.9214
"2011-12-09:12 AM",14.8744
"2011-12-10:12 AM",15.494
"2011-12-11:12 AM",29.9196
"2011-12-12:12 AM",34.3926
"2011-12-13:12 AM",34.8798
"2011-12-14:12 AM",36.2372
"2011-12-15:12 AM",33.4333
"2011-12-16:12 AM",24.0811
"2011-12-17:12 AM",24.3981
"2011-12-18:12 AM",29.7549
"2011-12-19:12 AM",32.9517
"2011-12-20:12 AM",28.6331
"2011-12-21:12 AM",29.9061
"2011-12-22:12 AM",27.8965
"2011-12-23:12 AM",24.0285
"2011-12-24:12 AM",26.7589
"2011-12-25:12 AM",32.7981
"2011-12-26:12 AM",32.4327
"2011-12-27:12 AM",29.6965
"2011-12-28:12 AM",22.2643
"2011-12-29:12 AM",28.8073
"2011-12-30:12 AM",27.783
"2011-12-31:12 AM",28.8588
"2012-01-01:12 AM",29.0923
"2012-01-02:12 AM",15.913
"2012-01-03:12 AM",12.5485
"2012-01-04:12 AM",25.5933
"2012-01-05:12 AM",31.3254
"2012-01-06:12 AM",36.7929
"2012-01-07:12 AM",30.4417
"2012-01-08:12 AM",29.6424
"2012-01-09:12 AM",33.0309
"2012-01-10:12 AM",34.8672
"2012-01-11:12 AM",34.4928
"2012-01-12:12 AM",22.314
"2012-01-13:12 AM",15.1036
"2012-01-14:12 AM",11.1022
"2012-01-15:12 AM",19.5748
"2012-01-16:12 AM",30.1111
"2012-01-17:12 AM",19.4842
"2012-01-18:12 AM",10.8869
"2012-01-19:12 AM",2.8776
"2012-01-20:12 AM",2.1436
"2012-01-21:12 AM",6.6454
"2012-01-22:12 AM",22.4438
"2012-01-23:12 AM",27.2242
"2012-01-24:12 AM",21.448
"2012-01-25:12 AM",24.4387
"2012-01-26:12 AM",29.2795
"2012-01-27:12 AM",27.0408
"2012-01-28:12 AM",23.7925
"2012-01-29:12 AM",15.8785
