"DateTime","(deg F) Mean Temperature (CFSR) at Washington, 2010-01-01 to 2019-03-14"
"2011-12-16:12 AM",30.9173
"2011-12-17:12 AM",31.5635
"2011-12-18:12 AM",32.4678
"2011-12-19:12 AM",30.0567
"2011-12-20:12 AM",31.2944
"2011-12-21:12 AM",28.8048
"2011-12-22:12 AM",24.7492
"2011-12-23:12 AM",25.9507
"2011-12-24:12 AM",32.0351
"2011-12-25:12 AM",32.8699
"2011-12-26:12 AM",30.9378
"2011-12-27:12 AM",33.8553
"2011-12-28:12 AM",41.2921
"2011-12-29:12 AM",39.2594
"2011-12-30:12 AM",37.3105
"2011-12-31:12 AM",30.1298
"2012-01-01:12 AM",31.3005
"2012-01-02:12 AM",32.5668
"2012-01-03:12 AM",36.1688
"2012-01-04:12 AM",37.9029
"2012-01-05:12 AM",37.8527
"2012-01-06:12 AM",31.4051
"2012-01-07:12 AM",30.8151
"2012-01-08:12 AM",34.1213
"2012-01-09:12 AM",33.9768
"2012-01-10:12 AM",32.3546
"2012-01-11:12 AM",26.5136
"2012-01-12:12 AM",25.5848
"2012-01-13:12 AM",27.0876
"2012-01-14:12 AM",29.2177
"2012-01-15:12 AM",25.07
"2012-01-16:12 AM",22.5606
"2012-01-17:12 AM",27.1855
"2012-01-18:12 AM",21.8208
"2012-01-19:12 AM",22.9498
"2012-01-20:12 AM",27.0957
"2012-01-21:12 AM",32.1082
"2012-01-22:12 AM",28.6066
"2012-01-23:12 AM",29.7541
"2012-01-24:12 AM",29.2446
"2012-01-25:12 AM",35.5395
"2012-01-26:12 AM",33.6702
"2012-01-27:12 AM",25.034
"2012-01-28:12 AM",28.2366
"2012-01-29:12 AM",35.577
"2012-01-30:12 AM",37.3219
"2012-01-31:12 AM",34.6021
"2012-02-01:12 AM",35.1201
"2012-02-02:12 AM",31.6591
"2012-02-03:12 AM",31.9327
"2012-02-04:12 AM",32.4216
"2012-02-05:12 AM",33.109
"2012-02-06:12 AM",32.2284
"2012-02-07:12 AM",33.9987
"2012-02-08:12 AM",35.0357
