"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2011-09-11:12 AM",67.4496
"2011-09-12:12 AM",63.4624
"2011-09-13:12 AM",56.3412
"2011-09-14:12 AM",51.5543
"2011-09-15:12 AM",55.2117
"2011-09-16:12 AM",56.8582
"2011-09-17:12 AM",54.6886
"2011-09-18:12 AM",53.8578
"2011-09-19:12 AM",55.6624
"2011-09-20:12 AM",48.7726
"2011-09-21:12 AM",51.0615
"2011-09-22:12 AM",59.0907
"2011-09-23:12 AM",67.7273
"2011-09-24:12 AM",68.7603
"2011-09-25:12 AM",67.8294
"2011-09-26:12 AM",62.911
"2011-09-27:12 AM",63.1816
"2011-09-28:12 AM",59.0974
"2011-09-29:12 AM",51.7291
"2011-09-30:12 AM",61.1067
"2011-10-01:12 AM",67.2656
"2011-10-02:12 AM",63.334
"2011-10-03:12 AM",63.4914
"2011-10-04:12 AM",63.1693
"2011-10-05:12 AM",58.0546
"2011-10-06:12 AM",52.3596
"2011-10-07:12 AM",46.1574
"2011-10-08:12 AM",44.1462
"2011-10-09:12 AM",43.9331
"2011-10-10:12 AM",45.7947
"2011-10-11:12 AM",48.6322
"2011-10-12:12 AM",46.2087
"2011-10-13:12 AM",44.3604
"2011-10-14:12 AM",41.9342
"2011-10-15:12 AM",43.2027
"2011-10-16:12 AM",40.2523
"2011-10-17:12 AM",40.4008
"2011-10-18:12 AM",41.1984
"2011-10-19:12 AM",44.3136
"2011-10-20:12 AM",47.8584
"2011-10-21:12 AM",46.5478
"2011-10-22:12 AM",48.529
"2011-10-23:12 AM",48.1269
"2011-10-24:12 AM",42.751
"2011-10-25:12 AM",35.5586
"2011-10-26:12 AM",31.8787
"2011-10-27:12 AM",34.8357
"2011-10-28:12 AM",34.7673
"2011-10-29:12 AM",40.5484
"2011-10-30:12 AM",39.614
"2011-10-31:12 AM",44.4119
"2011-11-01:12 AM",33.1945
"2011-11-02:12 AM",30.3501
"2011-11-03:12 AM",34.5726
"2011-11-04:12 AM",33.8734
"2011-11-05:12 AM",28.8734
"2011-11-06:12 AM",24.0361
"2011-11-07:12 AM",21.704
"2011-11-08:12 AM",25.8062
"2011-11-09:12 AM",25.8422
"2011-11-10:12 AM",31.1657
"2011-11-11:12 AM",35.1306
"2011-11-12:12 AM",34.365
"2011-11-13:12 AM",31.7511
