"DateTime","(deg F) Mean Temperature (CFSR) at Wyoming, 2010-01-01 to 2019-03-14"
"2011-04-21:12 AM",38.6737
"2011-04-22:12 AM",31.5846
"2011-04-23:12 AM",29.4183
"2011-04-24:12 AM",32.9479
"2011-04-25:12 AM",36.1922
"2011-04-26:12 AM",33.8094
"2011-04-27:12 AM",32.4988
"2011-04-28:12 AM",37.0386
"2011-04-29:12 AM",34.0414
"2011-04-30:12 AM",28.0292
"2011-05-01:12 AM",28.7307
"2011-05-02:12 AM",32.6529
"2011-05-03:12 AM",38.4111
"2011-05-04:12 AM",37.0504
"2011-05-05:12 AM",39.7047
"2011-05-06:12 AM",45.8726
"2011-05-07:12 AM",49.0726
"2011-05-08:12 AM",50.9423
"2011-05-09:12 AM",45.9117
"2011-05-10:12 AM",39.9382
"2011-05-11:12 AM",37.4268
"2011-05-12:12 AM",41.0783
"2011-05-13:12 AM",44.9708
"2011-05-14:12 AM",40.6452
"2011-05-15:12 AM",40.838
"2011-05-16:12 AM",45.2307
"2011-05-17:12 AM",42.5309
"2011-05-18:12 AM",39.3003
"2011-05-19:12 AM",38.8054
"2011-05-20:12 AM",39.7501
"2011-05-21:12 AM",43.4986
"2011-05-22:12 AM",47.5689
"2011-05-23:12 AM",47.4969
"2011-05-24:12 AM",45.8478
"2011-05-25:12 AM",45.7048
"2011-05-26:12 AM",46.3172
"2011-05-27:12 AM",41.329
"2011-05-28:12 AM",41.628
"2011-05-29:12 AM",41.385
"2011-05-30:12 AM",41.335
"2011-05-31:12 AM",44.4718
"2011-06-01:12 AM",52.9477
"2011-06-02:12 AM",54.381
"2011-06-03:12 AM",46.4511
"2011-06-04:12 AM",51.0741
"2011-06-05:12 AM",60.9093
"2011-06-06:12 AM",63.145
"2011-06-07:12 AM",54.5837
"2011-06-08:12 AM",51.2049
"2011-06-09:12 AM",48.2902
"2011-06-10:12 AM",48.1285
"2011-06-11:12 AM",53.02
"2011-06-12:12 AM",55.7587
"2011-06-13:12 AM",55.3955
"2011-06-14:12 AM",54.9588
"2011-06-15:12 AM",56.0775
"2011-06-16:12 AM",54.4903
"2011-06-17:12 AM",50.4703
"2011-06-18:12 AM",53.7732
"2011-06-19:12 AM",51.9816
"2011-06-20:12 AM",50.5441
"2011-06-21:12 AM",54.3724
"2011-06-22:12 AM",59.3055
"2011-06-23:12 AM",62.7231
"2011-06-24:12 AM",63.0768
"2011-06-25:12 AM",62.0096
"2011-06-26:12 AM",59.9025
"2011-06-27:12 AM",57.2135
"2011-06-28:12 AM",66.6201
"2011-06-29:12 AM",71.1237
"2011-06-30:12 AM",66.1725
"2011-07-01:12 AM",61.6991
"2011-07-02:12 AM",64.8495
"2011-07-03:12 AM",70.5013
"2011-07-04:12 AM",68.9212
"2011-07-05:12 AM",66.3211
"2011-07-06:12 AM",67.0532
"2011-07-07:12 AM",66.8876
"2011-07-08:12 AM",66.4315
"2011-07-09:12 AM",65.2764
"2011-07-10:12 AM",66.8921
"2011-07-11:12 AM",67.116
"2011-07-12:12 AM",63.8586
"2011-07-13:12 AM",65.5185
"2011-07-14:12 AM",67.7845
"2011-07-15:12 AM",67.7192
"2011-07-16:12 AM",70.0567
"2011-07-17:12 AM",72.9178
"2011-07-18:12 AM",72.8206
"2011-07-19:12 AM",71.1583
"2011-07-20:12 AM",67.5817
"2011-07-21:12 AM",67.5205
"2011-07-22:12 AM",69.6083
"2011-07-23:12 AM",67.3716
"2011-07-24:12 AM",69.7215
"2011-07-25:12 AM",72.1204
"2011-07-26:12 AM",70.3963
"2011-07-27:12 AM",67.0968
"2011-07-28:12 AM",67.1382
"2011-07-29:12 AM",68.8707
"2011-07-30:12 AM",70.9443
"2011-07-31:12 AM",71.3406
"2011-08-01:12 AM",68.3577
"2011-08-02:12 AM",66.4259
"2011-08-03:12 AM",67.5934
"2011-08-04:12 AM",67.2112
"2011-08-05:12 AM",67.9719
"2011-08-06:12 AM",66.3852
"2011-08-07:12 AM",67.0285
"2011-08-08:12 AM",65.3718
"2011-08-09:12 AM",63.0435
"2011-08-10:12 AM",62.7892
"2011-08-11:12 AM",66.1939
"2011-08-12:12 AM",63.9347
"2011-08-13:12 AM",65.1436
"2011-08-14:12 AM",68.7371
"2011-08-15:12 AM",68.4235
"2011-08-16:12 AM",64.6527
"2011-08-17:12 AM",66.2922
"2011-08-18:12 AM",69.1576
"2011-08-19:12 AM",66.4329
"2011-08-20:12 AM",64.9983
"2011-08-21:12 AM",68.9394
"2011-08-22:12 AM",71.6963
"2011-08-23:12 AM",72.7192
"2011-08-24:12 AM",71.1919
"2011-08-25:12 AM",72.1567
"2011-08-26:12 AM",71.35
"2011-08-27:12 AM",73.0506
"2011-08-28:12 AM",70.6525
"2011-08-29:12 AM",65.8265
"2011-08-30:12 AM",65.9408
"2011-08-31:12 AM",68.8897
"2011-09-01:12 AM",64.9267
"2011-09-02:12 AM",60.9354
"2011-09-03:12 AM",55.101
"2011-09-04:12 AM",55.9897
"2011-09-05:12 AM",61.9848
"2011-09-06:12 AM",59.754
"2011-09-07:12 AM",58.9401
"2011-09-08:12 AM",59.5551
"2011-09-09:12 AM",60.0987
"2011-09-10:12 AM",60.4287
"2011-09-11:12 AM",61.3927
"2011-09-12:12 AM",61.002
"2011-09-13:12 AM",58.8445
"2011-09-14:12 AM",50.8109
"2011-09-15:12 AM",50.6422
"2011-09-16:12 AM",55.1323
"2011-09-17:12 AM",52.84
"2011-09-18:12 AM",51.0228
"2011-09-19:12 AM",54.6897
"2011-09-20:12 AM",49.8762
"2011-09-21:12 AM",47.6726
"2011-09-22:12 AM",53.2004
"2011-09-23:12 AM",59.6638
"2011-09-24:12 AM",62.1149
"2011-09-25:12 AM",62.5816
"2011-09-26:12 AM",61.3868
"2011-09-27:12 AM",60.2103
"2011-09-28:12 AM",61.5807
"2011-09-29:12 AM",54.6444
"2011-09-30:12 AM",57.6631
"2011-10-01:12 AM",61.7706
"2011-10-02:12 AM",61.5349
"2011-10-03:12 AM",59.545
"2011-10-04:12 AM",59.2968
"2011-10-05:12 AM",54.7187
"2011-10-06:12 AM",47.3563
"2011-10-07:12 AM",38.9311
"2011-10-08:12 AM",37.8167
"2011-10-09:12 AM",37.8945
"2011-10-10:12 AM",39.5699
"2011-10-11:12 AM",43.9891
"2011-10-12:12 AM",42.0922
"2011-10-13:12 AM",43.0072
"2011-10-14:12 AM",45.0433
"2011-10-15:12 AM",50.2493
"2011-10-16:12 AM",46.1237
"2011-10-17:12 AM",40.2656
"2011-10-18:12 AM",37.0625
"2011-10-19:12 AM",39.5206
"2011-10-20:12 AM",43.3454
"2011-10-21:12 AM",43.6213
"2011-10-22:12 AM",44.6247
"2011-10-23:12 AM",45.3569
"2011-10-24:12 AM",46.4205
"2011-10-25:12 AM",37.7818
"2011-10-26:12 AM",27.2714
"2011-10-27:12 AM",28.071
"2011-10-28:12 AM",29.394
"2011-10-29:12 AM",36.3875
"2011-10-30:12 AM",36.9808
"2011-10-31:12 AM",41.1141
"2011-11-01:12 AM",32.5359
"2011-11-02:12 AM",23.7288
"2011-11-03:12 AM",25.6928
"2011-11-04:12 AM",31.4281
"2011-11-05:12 AM",29.9424
"2011-11-06:12 AM",21.6093
"2011-11-07:12 AM",18.4712
"2011-11-08:12 AM",18.2899
"2011-11-09:12 AM",17.6326
"2011-11-10:12 AM",22.7858
"2011-11-11:12 AM",26.8662
"2011-11-12:12 AM",30.1975
"2011-11-13:12 AM",27.1553
"2011-11-14:12 AM",27.8064
"2011-11-15:12 AM",23.8455
"2011-11-16:12 AM",15.5185
"2011-11-17:12 AM",24.3756
"2011-11-18:12 AM",29.0948
"2011-11-19:12 AM",16.8202
"2011-11-20:12 AM",16.5474
"2011-11-21:12 AM",24.4931
"2011-11-22:12 AM",26.3041
"2011-11-23:12 AM",29.5322
"2011-11-24:12 AM",31.1184
"2011-11-25:12 AM",30.1269
"2011-11-26:12 AM",16.5088
"2011-11-27:12 AM",23.3658
"2011-11-28:12 AM",29.062
"2011-11-29:12 AM",27.3497
"2011-11-30:12 AM",29.0678
"2011-12-01:12 AM",17.2195
"2011-12-02:12 AM",15.3477
"2011-12-03:12 AM",12.9519
"2011-12-04:12 AM",10.2418
"2011-12-05:12 AM",-1.5702
"2011-12-06:12 AM",7.5195
"2011-12-07:12 AM",14.5042
"2011-12-08:12 AM",14.2601
"2011-12-09:12 AM",14.4322
"2011-12-10:12 AM",16.1841
"2011-12-11:12 AM",17.213
"2011-12-12:12 AM",15.0638
"2011-12-13:12 AM",17.5275
"2011-12-14:12 AM",19.3046
"2011-12-15:12 AM",15.98
"2011-12-16:12 AM",15.5116
"2011-12-17:12 AM",19.7524
"2011-12-18:12 AM",21.9639
"2011-12-19:12 AM",19.429
"2011-12-20:12 AM",18.3799
"2011-12-21:12 AM",20.219
"2011-12-22:12 AM",10.1284
"2011-12-23:12 AM",11.1243
"2011-12-24:12 AM",15.3453
"2011-12-25:12 AM",20.0761
"2011-12-26:12 AM",20.6006
"2011-12-27:12 AM",19.9182
"2011-12-28:12 AM",26.3817
"2011-12-29:12 AM",32.3647
"2011-12-30:12 AM",30.7069
"2011-12-31:12 AM",25.3954
"2012-01-01:12 AM",16.8355
"2012-01-02:12 AM",22.8261
"2012-01-03:12 AM",29.5641
"2012-01-04:12 AM",28.3662
"2012-01-05:12 AM",31.4944
"2012-01-06:12 AM",26.3719
"2012-01-07:12 AM",22.6071
"2012-01-08:12 AM",19.7481
"2012-01-09:12 AM",24.4981
"2012-01-10:12 AM",26.2324
"2012-01-11:12 AM",14.9007
"2012-01-12:12 AM",10.1062
"2012-01-13:12 AM",17.1991
"2012-01-14:12 AM",22.3835
"2012-01-15:12 AM",27.025
"2012-01-16:12 AM",16.6095
"2012-01-17:12 AM",6.4409
"2012-01-18:12 AM",17.7474
"2012-01-19:12 AM",27.5009
"2012-01-20:12 AM",28.962
"2012-01-21:12 AM",31.3173
"2012-01-22:12 AM",24.0867
"2012-01-23:12 AM",20.4418
"2012-01-24:12 AM",21.4029
"2012-01-25:12 AM",23.4531
"2012-01-26:12 AM",28.0974
"2012-01-27:12 AM",19.8009
"2012-01-28:12 AM",15.5403
"2012-01-29:12 AM",24.4351
"2012-01-30:12 AM",27.6199
"2012-01-31:12 AM",24.1542
"2012-02-01:12 AM",23.3424
"2012-02-02:12 AM",24.9553
"2012-02-03:12 AM",21.3989
"2012-02-04:12 AM",17.285
"2012-02-05:12 AM",17.8551
"2012-02-06:12 AM",17.9811
