"DateTime","(deg F) Mean Temperature (CFSR) at Utah, 2010-01-01 to 2019-03-14"
"2011-07-18:12 AM",72.6697
"2011-07-19:12 AM",73.4851
"2011-07-20:12 AM",72.1996
"2011-07-21:12 AM",72.7677
"2011-07-22:12 AM",72.4294
"2011-07-23:12 AM",72.0945
"2011-07-24:12 AM",75.2891
"2011-07-25:12 AM",75.0186
"2011-07-26:12 AM",69.9906
"2011-07-27:12 AM",69.4517
"2011-07-28:12 AM",71.5368
"2011-07-29:12 AM",73.9522
"2011-07-30:12 AM",71.2688
"2011-07-31:12 AM",70.2028
"2011-08-01:12 AM",68.8701
"2011-08-02:12 AM",70.2743
"2011-08-03:12 AM",70.2563
"2011-08-04:12 AM",70.6978
"2011-08-05:12 AM",71.2036
"2011-08-06:12 AM",70.6681
"2011-08-07:12 AM",70.7385
"2011-08-08:12 AM",71.8743
"2011-08-09:12 AM",71.9289
"2011-08-10:12 AM",71.7292
"2011-08-11:12 AM",72.8388
"2011-08-12:12 AM",72.3954
"2011-08-13:12 AM",74.0269
"2011-08-14:12 AM",72.6229
"2011-08-15:12 AM",71.5977
"2011-08-16:12 AM",71.7359
"2011-08-17:12 AM",73.5039
"2011-08-18:12 AM",74.1468
"2011-08-19:12 AM",73.8977
"2011-08-20:12 AM",73.63
"2011-08-21:12 AM",73.5748
"2011-08-22:12 AM",74.8852
"2011-08-23:12 AM",76.3506
"2011-08-24:12 AM",76.8544
"2011-08-25:12 AM",74.912
"2011-08-26:12 AM",74.7421
"2011-08-27:12 AM",74.0221
"2011-08-28:12 AM",73.5512
"2011-08-29:12 AM",73.3402
"2011-08-30:12 AM",73.0461
"2011-08-31:12 AM",72.8652
"2011-09-01:12 AM",69.1947
"2011-09-02:12 AM",67.3219
"2011-09-03:12 AM",67.1088
"2011-09-04:12 AM",68.5629
"2011-09-05:12 AM",67.2598
"2011-09-06:12 AM",64.7703
"2011-09-07:12 AM",65.1738
"2011-09-08:12 AM",65.3911
"2011-09-09:12 AM",63.8764
"2011-09-10:12 AM",61.4055
"2011-09-11:12 AM",60.4868
"2011-09-12:12 AM",60.7885
"2011-09-13:12 AM",61.1274
"2011-09-14:12 AM",59.6511
"2011-09-15:12 AM",58.7296
"2011-09-16:12 AM",58.0503
"2011-09-17:12 AM",58.1292
"2011-09-18:12 AM",59.0587
"2011-09-19:12 AM",62.0202
"2011-09-20:12 AM",62.9796
"2011-09-21:12 AM",62.501
"2011-09-22:12 AM",62.7129
"2011-09-23:12 AM",63.7317
"2011-09-24:12 AM",64.0634
"2011-09-25:12 AM",64.3267
"2011-09-26:12 AM",64.1498
"2011-09-27:12 AM",64.2
"2011-09-28:12 AM",65.8773
"2011-09-29:12 AM",66.1624
"2011-09-30:12 AM",65.9152
"2011-10-01:12 AM",64.6761
"2011-10-02:12 AM",62.5235
"2011-10-03:12 AM",61.2777
"2011-10-04:12 AM",58.3839
"2011-10-05:12 AM",49.8562
"2011-10-06:12 AM",41.2115
"2011-10-07:12 AM",38.3367
"2011-10-08:12 AM",40.9449
"2011-10-09:12 AM",42.4767
"2011-10-10:12 AM",45.2527
"2011-10-11:12 AM",49.5219
"2011-10-12:12 AM",50.1886
"2011-10-13:12 AM",52.3771
"2011-10-14:12 AM",55.9917
"2011-10-15:12 AM",58.3439
"2011-10-16:12 AM",57.043
"2011-10-17:12 AM",50.8226
"2011-10-18:12 AM",47.1313
"2011-10-19:12 AM",48.4858
"2011-10-20:12 AM",50.1904
"2011-10-21:12 AM",50.727
"2011-10-22:12 AM",50.6799
"2011-10-23:12 AM",50.8458
"2011-10-24:12 AM",52.1514
"2011-10-25:12 AM",48.5609
"2011-10-26:12 AM",38.9165
"2011-10-27:12 AM",34.7135
"2011-10-28:12 AM",36.6719
"2011-10-29:12 AM",41.1508
"2011-10-30:12 AM",43.6548
"2011-10-31:12 AM",45.6184
"2011-11-01:12 AM",41.5531
"2011-11-02:12 AM",31.6389
"2011-11-03:12 AM",32.9959
"2011-11-04:12 AM",38.7115
"2011-11-05:12 AM",32.3841
"2011-11-06:12 AM",27.5162
"2011-11-07:12 AM",28.3982
"2011-11-08:12 AM",26.2472
"2011-11-09:12 AM",24.4108
"2011-11-10:12 AM",28.6446
"2011-11-11:12 AM",32.0812
"2011-11-12:12 AM",34.8256
"2011-11-13:12 AM",35.1203
"2011-11-14:12 AM",33.9867
"2011-11-15:12 AM",34.0147
"2011-11-16:12 AM",30.2806
"2011-11-17:12 AM",33.3187
"2011-11-18:12 AM",36.6213
"2011-11-19:12 AM",32.0878
"2011-11-20:12 AM",32.9493
"2011-11-21:12 AM",35.604
"2011-11-22:12 AM",34.6447
"2011-11-23:12 AM",35.9965
"2011-11-24:12 AM",36.8467
"2011-11-25:12 AM",35.1145
"2011-11-26:12 AM",28.9301
"2011-11-27:12 AM",30.4421
"2011-11-28:12 AM",34.4957
"2011-11-29:12 AM",34.1555
"2011-11-30:12 AM",34.7252
"2011-12-01:12 AM",29.0091
"2011-12-02:12 AM",27.4053
"2011-12-03:12 AM",23.8914
"2011-12-04:12 AM",18.8872
"2011-12-05:12 AM",15.8666
"2011-12-06:12 AM",13.042
"2011-12-07:12 AM",17.9917
"2011-12-08:12 AM",21.6995
"2011-12-09:12 AM",22.2172
"2011-12-10:12 AM",22.9055
"2011-12-11:12 AM",24.8668
"2011-12-12:12 AM",25.8579
"2011-12-13:12 AM",27.334
"2011-12-14:12 AM",23.7825
"2011-12-15:12 AM",20.307
"2011-12-16:12 AM",19.0355
"2011-12-17:12 AM",20.4744
"2011-12-18:12 AM",23.2554
"2011-12-19:12 AM",24.1849
"2011-12-20:12 AM",21.1617
"2011-12-21:12 AM",22.2609
"2011-12-22:12 AM",19.0377
"2011-12-23:12 AM",17.1459
"2011-12-24:12 AM",19.4461
"2011-12-25:12 AM",22.4114
"2011-12-26:12 AM",24.1959
"2011-12-27:12 AM",25.1541
"2011-12-28:12 AM",28.605
"2011-12-29:12 AM",34.6062
"2011-12-30:12 AM",35.6823
"2011-12-31:12 AM",30.0254
"2012-01-01:12 AM",26.9663
"2012-01-02:12 AM",29.894
"2012-01-03:12 AM",32.6507
"2012-01-04:12 AM",32.2524
"2012-01-05:12 AM",33.645
"2012-01-06:12 AM",32.3026
"2012-01-07:12 AM",30.3714
"2012-01-08:12 AM",24.7984
"2012-01-09:12 AM",25.9083
"2012-01-10:12 AM",27.8884
"2012-01-11:12 AM",26.0181
"2012-01-12:12 AM",21.4313
"2012-01-13:12 AM",23.5377
"2012-01-14:12 AM",28.6376
"2012-01-15:12 AM",31.0203
"2012-01-16:12 AM",27.2374
"2012-01-17:12 AM",18.7151
"2012-01-18:12 AM",26.5093
"2012-01-19:12 AM",33.6121
"2012-01-20:12 AM",35.2427
"2012-01-21:12 AM",34.3756
"2012-01-22:12 AM",28.337
"2012-01-23:12 AM",26.2222
"2012-01-24:12 AM",26.7492
"2012-01-25:12 AM",26.7892
"2012-01-26:12 AM",32.6295
"2012-01-27:12 AM",29.0638
"2012-01-28:12 AM",23.459
"2012-01-29:12 AM",27.093
"2012-01-30:12 AM",30.1316
"2012-01-31:12 AM",29.5813
"2012-02-01:12 AM",30.2185
"2012-02-02:12 AM",29.8099
"2012-02-03:12 AM",28.8779
"2012-02-04:12 AM",26.7289
"2012-02-05:12 AM",26.5352
"2012-02-06:12 AM",26.3068
"2012-02-07:12 AM",25.2045
"2012-02-08:12 AM",30.3406
