"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2011-02-19:12 AM",36.9574
"2011-02-20:12 AM",32.9419
"2011-02-21:12 AM",24.0818
"2011-02-22:12 AM",26.8637
"2011-02-23:12 AM",30.1339
"2011-02-24:12 AM",27.3162
"2011-02-25:12 AM",23.9713
"2011-02-26:12 AM",29.6879
"2011-02-27:12 AM",30.6297
"2011-02-28:12 AM",30.4108
"2011-03-01:12 AM",35.2276
"2011-03-02:12 AM",35.4745
"2011-03-03:12 AM",38.3106
"2011-03-04:12 AM",31.9676
"2011-03-05:12 AM",27.9374
"2011-03-06:12 AM",33.5579
"2011-03-07:12 AM",29.809
"2011-03-08:12 AM",25.7158
"2011-03-09:12 AM",27.4687
"2011-03-10:12 AM",34.7239
"2011-03-11:12 AM",40.937
"2011-03-12:12 AM",38.3905
"2011-03-13:12 AM",37.3195
"2011-03-14:12 AM",37.5784
"2011-03-15:12 AM",40.5469
"2011-03-16:12 AM",44.9575
"2011-03-17:12 AM",45.2649
"2011-03-18:12 AM",38.4649
"2011-03-19:12 AM",42.1641
"2011-03-20:12 AM",43.0585
"2011-03-21:12 AM",45.0415
"2011-03-22:12 AM",38.086
"2011-03-23:12 AM",34.911
"2011-03-24:12 AM",33.8745
"2011-03-25:12 AM",35.3399
"2011-03-26:12 AM",34.5634
"2011-03-27:12 AM",34.7247
"2011-03-28:12 AM",34.5126
"2011-03-29:12 AM",32.2153
"2011-03-30:12 AM",34.9828
"2011-03-31:12 AM",43.2972
"2011-04-01:12 AM",46.249
"2011-04-02:12 AM",50.3845
"2011-04-03:12 AM",45.577
"2011-04-04:12 AM",29.9264
"2011-04-05:12 AM",42.7941
"2011-04-06:12 AM",43.977
"2011-04-07:12 AM",42.3858
"2011-04-08:12 AM",45.0558
"2011-04-09:12 AM",45.579
"2011-04-10:12 AM",36.01
"2011-04-11:12 AM",38.599
"2011-04-12:12 AM",44.9674
"2011-04-13:12 AM",43.7144
"2011-04-14:12 AM",37.179
"2011-04-15:12 AM",35.6702
"2011-04-16:12 AM",41.3694
"2011-04-17:12 AM",47.5461
"2011-04-18:12 AM",49.4634
"2011-04-19:12 AM",43.7603
"2011-04-20:12 AM",41.0909
"2011-04-21:12 AM",46.7731
"2011-04-22:12 AM",44.0314
"2011-04-23:12 AM",39.609
"2011-04-24:12 AM",40.3768
"2011-04-25:12 AM",39.8586
"2011-04-26:12 AM",36.8254
"2011-04-27:12 AM",34.7265
"2011-04-28:12 AM",39.8068
"2011-04-29:12 AM",45.6703
"2011-04-30:12 AM",33.7753
"2011-05-01:12 AM",32.0657
"2011-05-02:12 AM",33.5761
"2011-05-03:12 AM",39.555
"2011-05-04:12 AM",45.4874
"2011-05-05:12 AM",44.2998
"2011-05-06:12 AM",51.606
"2011-05-07:12 AM",55.4531
"2011-05-08:12 AM",57.5146
"2011-05-09:12 AM",53.9157
"2011-05-10:12 AM",48.5235
"2011-05-11:12 AM",41.2203
"2011-05-12:12 AM",40.163
"2011-05-13:12 AM",45.8413
"2011-05-14:12 AM",44.7881
"2011-05-15:12 AM",46.2088
"2011-05-16:12 AM",48.1917
"2011-05-17:12 AM",48.2837
"2011-05-18:12 AM",43.3567
"2011-05-19:12 AM",42.1522
"2011-05-20:12 AM",42.1547
"2011-05-21:12 AM",46.4347
"2011-05-22:12 AM",51.705
"2011-05-23:12 AM",52.7036
"2011-05-24:12 AM",46.4628
"2011-05-25:12 AM",47.4442
"2011-05-26:12 AM",51.955
"2011-05-27:12 AM",53.5901
"2011-05-28:12 AM",53.7922
"2011-05-29:12 AM",57.9634
"2011-05-30:12 AM",53.3066
