"DateTime","(deg F) Mean Temperature (CFSR) at Michigan, 2010-01-01 to 2019-03-14"
"2011-03-17:12 AM",42.7163
"2011-03-18:12 AM",37.1136
"2011-03-19:12 AM",31.5946
"2011-03-20:12 AM",33.7766
"2011-03-21:12 AM",37.3078
"2011-03-22:12 AM",31.5824
"2011-03-23:12 AM",24.9449
"2011-03-24:12 AM",20.3715
"2011-03-25:12 AM",18.9761
"2011-03-26:12 AM",19.6911
"2011-03-27:12 AM",20.7279
"2011-03-28:12 AM",23.9112
"2011-03-29:12 AM",27.9981
"2011-03-30:12 AM",30.5897
"2011-03-31:12 AM",32.4876
"2011-04-01:12 AM",33.9165
"2011-04-02:12 AM",34.7877
"2011-04-03:12 AM",34.8305
"2011-04-04:12 AM",38.2678
"2011-04-05:12 AM",33.5836
"2011-04-06:12 AM",36.0972
"2011-04-07:12 AM",37.9744
"2011-04-08:12 AM",40.7111
"2011-04-09:12 AM",42.8904
"2011-04-10:12 AM",51.7665
"2011-04-11:12 AM",47.2829
"2011-04-12:12 AM",40.6929
"2011-04-13:12 AM",42.9134
"2011-04-14:12 AM",36.4024
"2011-04-15:12 AM",35.9253
"2011-04-16:12 AM",38.7379
"2011-04-17:12 AM",31.5163
"2011-04-18:12 AM",30.9351
"2011-04-19:12 AM",32.4403
"2011-04-20:12 AM",33.9919
"2011-04-21:12 AM",36.6906
"2011-04-22:12 AM",38.4708
"2011-04-23:12 AM",41.7011
"2011-04-24:12 AM",42.8146
"2011-04-25:12 AM",44.9573
"2011-04-26:12 AM",44.8093
"2011-04-27:12 AM",44.7289
"2011-04-28:12 AM",39.753
"2011-04-29:12 AM",41.938
"2011-04-30:12 AM",46.2484
"2011-05-01:12 AM",47.5228
"2011-05-02:12 AM",40.2579
"2011-05-03:12 AM",38.6762
"2011-05-04:12 AM",42.6933
"2011-05-05:12 AM",45.5862
"2011-05-06:12 AM",45.4293
"2011-05-07:12 AM",45.8092
"2011-05-08:12 AM",48.4581
"2011-05-09:12 AM",50.2934
"2011-05-10:12 AM",49.5063
"2011-05-11:12 AM",54.5815
"2011-05-12:12 AM",56.3895
"2011-05-13:12 AM",52.2851
"2011-05-14:12 AM",46.3305
"2011-05-15:12 AM",42.5568
"2011-05-16:12 AM",41.9695
"2011-05-17:12 AM",45.4534
"2011-05-18:12 AM",48.8037
"2011-05-19:12 AM",50.3967
"2011-05-20:12 AM",53.0157
"2011-05-21:12 AM",56.4856
"2011-05-22:12 AM",58.9397
"2011-05-23:12 AM",57.3607
"2011-05-24:12 AM",48.7825
"2011-05-25:12 AM",47.0167
"2011-05-26:12 AM",44.7246
"2011-05-27:12 AM",45.4296
"2011-05-28:12 AM",50.5125
"2011-05-29:12 AM",56.0019
"2011-05-30:12 AM",59.6941
"2011-05-31:12 AM",64.8316
"2011-06-01:12 AM",56.0088
"2011-06-02:12 AM",51.0422
"2011-06-03:12 AM",56.7815
"2011-06-04:12 AM",61.8912
"2011-06-05:12 AM",57.8232
"2011-06-06:12 AM",60.3959
"2011-06-07:12 AM",65.2672
"2011-06-08:12 AM",67.4452
"2011-06-09:12 AM",54.315
"2011-06-10:12 AM",50.2938
"2011-06-11:12 AM",50.884
"2011-06-12:12 AM",51.5745
"2011-06-13:12 AM",55.0969
"2011-06-14:12 AM",57.2097
"2011-06-15:12 AM",57.0853
"2011-06-16:12 AM",55.9704
"2011-06-17:12 AM",58.2262
"2011-06-18:12 AM",59.7695
"2011-06-19:12 AM",57.461
"2011-06-20:12 AM",58.1671
"2011-06-21:12 AM",59.581
"2011-06-22:12 AM",59.3375
"2011-06-23:12 AM",55.8732
"2011-06-24:12 AM",55.0495
"2011-06-25:12 AM",58.554
"2011-06-26:12 AM",60.553
"2011-06-27:12 AM",60.4537
"2011-06-28:12 AM",57.5796
"2011-06-29:12 AM",57.4021
"2011-06-30:12 AM",61.6579
"2011-07-01:12 AM",67.0253
"2011-07-02:12 AM",68.9373
"2011-07-03:12 AM",64.2983
"2011-07-04:12 AM",63.8465
"2011-07-05:12 AM",67.2193
"2011-07-06:12 AM",64.4274
"2011-07-07:12 AM",63.6759
"2011-07-08:12 AM",64.9481
"2011-07-09:12 AM",65.7185
"2011-07-10:12 AM",70.1379
"2011-07-11:12 AM",70.4536
"2011-07-12:12 AM",65.7939
"2011-07-13:12 AM",61.1251
"2011-07-14:12 AM",61.9135
"2011-07-15:12 AM",66.6257
"2011-07-16:12 AM",70.2207
"2011-07-17:12 AM",73.4441
"2011-07-18:12 AM",73.0425
"2011-07-19:12 AM",71.9667
"2011-07-20:12 AM",76.5862
"2011-07-21:12 AM",77.653
"2011-07-22:12 AM",72.7558
"2011-07-23:12 AM",69.467
"2011-07-24:12 AM",67.9678
"2011-07-25:12 AM",67.7196
"2011-07-26:12 AM",65.946
"2011-07-27:12 AM",65.7016
"2011-07-28:12 AM",70.6656
"2011-07-29:12 AM",71.4942
"2011-07-30:12 AM",71.6256
"2011-07-31:12 AM",72.9176
"2011-08-01:12 AM",72.1179
"2011-08-02:12 AM",72.0826
"2011-08-03:12 AM",69.4917
"2011-08-04:12 AM",69.859
"2011-08-05:12 AM",71.5618
"2011-08-06:12 AM",71.5233
"2011-08-07:12 AM",69.9593
"2011-08-08:12 AM",68.5386
"2011-08-09:12 AM",67.1535
"2011-08-10:12 AM",64.56
"2011-08-11:12 AM",66.3472
"2011-08-12:12 AM",68.2194
"2011-08-13:12 AM",65.8013
"2011-08-14:12 AM",63.6426
"2011-08-15:12 AM",65.3781
"2011-08-16:12 AM",67.6783
"2011-08-17:12 AM",69.343
"2011-08-18:12 AM",69.1209
"2011-08-19:12 AM",68.9583
"2011-08-20:12 AM",67.3189
"2011-08-21:12 AM",63.226
"2011-08-22:12 AM",62.3971
"2011-08-23:12 AM",69.3451
"2011-08-24:12 AM",70.8264
"2011-08-25:12 AM",65.0381
"2011-08-26:12 AM",65.3396
"2011-08-27:12 AM",65.5826
"2011-08-28:12 AM",62.6112
"2011-08-29:12 AM",63.5783
"2011-08-30:12 AM",66.6014
"2011-08-31:12 AM",66.1195
"2011-09-01:12 AM",70.5384
"2011-09-02:12 AM",75.1323
"2011-09-03:12 AM",69.4951
"2011-09-04:12 AM",63.334
"2011-09-05:12 AM",53.5977
"2011-09-06:12 AM",53.8646
"2011-09-07:12 AM",57.7911
"2011-09-08:12 AM",61.7614
"2011-09-09:12 AM",63.6301
"2011-09-10:12 AM",64.9099
"2011-09-11:12 AM",66.8943
"2011-09-12:12 AM",69.0224
"2011-09-13:12 AM",61.4208
