"DateTime","(deg F) Mean Temperature (CFSR) at Kansas, 2010-01-01 to 2019-03-14"
"2011-09-29:12 AM",69.4809
"2011-09-30:12 AM",60.0942
"2011-10-01:12 AM",60.7888
"2011-10-02:12 AM",64.4621
"2011-10-03:12 AM",71.0011
"2011-10-04:12 AM",74.7763
"2011-10-05:12 AM",71.2332
"2011-10-06:12 AM",72.0691
"2011-10-07:12 AM",72.648
"2011-10-08:12 AM",70.0239
"2011-10-09:12 AM",61.686
"2011-10-10:12 AM",58.7608
"2011-10-11:12 AM",61.8663
"2011-10-12:12 AM",63.3564
"2011-10-13:12 AM",59.9268
"2011-10-14:12 AM",58.7129
"2011-10-15:12 AM",59.9211
"2011-10-16:12 AM",64.4344
"2011-10-17:12 AM",52.1415
"2011-10-18:12 AM",47.9401
"2011-10-19:12 AM",45.928
"2011-10-20:12 AM",44.2926
"2011-10-21:12 AM",53.4405
"2011-10-22:12 AM",57.0564
"2011-10-23:12 AM",59.8177
"2011-10-24:12 AM",64.7056
"2011-10-25:12 AM",68.8167
"2011-10-26:12 AM",50.2326
"2011-10-27:12 AM",42.638
"2011-10-28:12 AM",43.9756
"2011-10-29:12 AM",50.5254
"2011-10-30:12 AM",52.4935
"2011-10-31:12 AM",55.0472
"2011-11-01:12 AM",59.8485
"2011-11-02:12 AM",45.7567
"2011-11-03:12 AM",35.7289
"2011-11-04:12 AM",41.4361
"2011-11-05:12 AM",50.8053
"2011-11-06:12 AM",51.4614
"2011-11-07:12 AM",46.2231
"2011-11-08:12 AM",41.6772
"2011-11-09:12 AM",39.6437
"2011-11-10:12 AM",40.7113
"2011-11-11:12 AM",47.4498
"2011-11-12:12 AM",51.9003
"2011-11-13:12 AM",56.5921
"2011-11-14:12 AM",52.741
"2011-11-15:12 AM",50.5281
"2011-11-16:12 AM",38.5734
"2011-11-17:12 AM",35.9424
"2011-11-18:12 AM",48.4898
"2011-11-19:12 AM",51.7408
"2011-11-20:12 AM",31.7755
"2011-11-21:12 AM",32.0187
"2011-11-22:12 AM",39.6565
"2011-11-23:12 AM",47.2309
"2011-11-24:12 AM",53.6504
"2011-11-25:12 AM",53.8101
"2011-11-26:12 AM",45.5284
"2011-11-27:12 AM",35.2029
"2011-11-28:12 AM",38.3086
"2011-11-29:12 AM",40.0503
"2011-11-30:12 AM",40.6076
"2011-12-01:12 AM",38.7725
"2011-12-02:12 AM",31.5504
"2011-12-03:12 AM",38.5689
"2011-12-04:12 AM",28.5933
"2011-12-05:12 AM",22.3005
"2011-12-06:12 AM",17.7183
"2011-12-07:12 AM",25.7821
"2011-12-08:12 AM",30.3012
"2011-12-09:12 AM",29.0032
"2011-12-10:12 AM",29.9599
"2011-12-11:12 AM",34.1101
"2011-12-12:12 AM",38.2291
"2011-12-13:12 AM",41.1955
"2011-12-14:12 AM",49.7761
"2011-12-15:12 AM",37.7078
"2011-12-16:12 AM",32.9054
"2011-12-17:12 AM",36.4928
"2011-12-18:12 AM",42.5883
"2011-12-19:12 AM",41.0891
"2011-12-20:12 AM",30.5883
"2011-12-21:12 AM",31.4028
"2011-12-22:12 AM",30.4792
"2011-12-23:12 AM",23.4009
"2011-12-24:12 AM",29.4987
"2011-12-25:12 AM",31.5804
"2011-12-26:12 AM",33.9334
"2011-12-27:12 AM",34.6775
"2011-12-28:12 AM",37.3001
"2011-12-29:12 AM",45.2802
"2011-12-30:12 AM",46.512
"2011-12-31:12 AM",48.1003
"2012-01-01:12 AM",38.1785
"2012-01-02:12 AM",30.9056
"2012-01-03:12 AM",36.8623
"2012-01-04:12 AM",42.811
"2012-01-05:12 AM",47.3383
"2012-01-06:12 AM",47.4975
"2012-01-07:12 AM",37.8208
"2012-01-08:12 AM",36.0522
"2012-01-09:12 AM",35.8306
"2012-01-10:12 AM",39.6381
"2012-01-11:12 AM",37.6313
"2012-01-12:12 AM",24.0325
"2012-01-13:12 AM",28.8939
"2012-01-14:12 AM",36.7075
"2012-01-15:12 AM",43.7095
"2012-01-16:12 AM",46.3006
"2012-01-17:12 AM",26.3905
"2012-01-18:12 AM",29.5374
"2012-01-19:12 AM",30.1104
"2012-01-20:12 AM",28.8657
"2012-01-21:12 AM",27.6795
"2012-01-22:12 AM",42.9678
"2012-01-23:12 AM",39.1253
"2012-01-24:12 AM",40.8385
"2012-01-25:12 AM",39.8525
"2012-01-26:12 AM",42.4164
"2012-01-27:12 AM",41.3764
"2012-01-28:12 AM",34.6285
"2012-01-29:12 AM",40.3693
"2012-01-30:12 AM",50.0567
"2012-01-31:12 AM",51.3403
"2012-02-01:12 AM",46.3035
"2012-02-02:12 AM",46.6632
"2012-02-03:12 AM",43.7625
"2012-02-04:12 AM",36.1661
"2012-02-05:12 AM",32.4653
"2012-02-06:12 AM",34.2435
"2012-02-07:12 AM",32.8883
