"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2011-02-11:12 AM",27.8231
"2011-02-12:12 AM",32.2547
"2011-02-13:12 AM",37.7317
"2011-02-14:12 AM",45.8163
"2011-02-15:12 AM",33.1277
"2011-02-16:12 AM",39.1127
"2011-02-17:12 AM",50.0531
"2011-02-18:12 AM",59.8883
"2011-02-19:12 AM",43.5555
"2011-02-20:12 AM",36.6021
"2011-02-21:12 AM",40.5595
"2011-02-22:12 AM",26.1405
"2011-02-23:12 AM",29.7387
"2011-02-24:12 AM",37.9594
"2011-02-25:12 AM",48.8588
"2011-02-26:12 AM",36.8717
"2011-02-27:12 AM",44.4304
"2011-02-28:12 AM",55.1192
"2011-03-01:12 AM",36.3546
"2011-03-02:12 AM",40.7926
"2011-03-03:12 AM",30.619
"2011-03-04:12 AM",35.2413
"2011-03-05:12 AM",48.1464
"2011-03-06:12 AM",50.7493
"2011-03-07:12 AM",36.8874
"2011-03-08:12 AM",37.5742
"2011-03-09:12 AM",39.907
"2011-03-10:12 AM",53.7764
"2011-03-11:12 AM",42.1583
"2011-03-12:12 AM",42.8468
"2011-03-13:12 AM",47.4494
"2011-03-14:12 AM",40.7966
"2011-03-15:12 AM",41.7668
"2011-03-16:12 AM",47.3495
"2011-03-17:12 AM",49.3178
"2011-03-18:12 AM",59.2966
"2011-03-19:12 AM",52.1227
"2011-03-20:12 AM",42.6942
"2011-03-21:12 AM",53.3538
"2011-03-22:12 AM",53.2944
"2011-03-23:12 AM",47.6852
"2011-03-24:12 AM",40.9482
"2011-03-25:12 AM",37.7307
"2011-03-26:12 AM",35.3646
"2011-03-27:12 AM",34.5591
"2011-03-28:12 AM",34.0979
"2011-03-29:12 AM",35.4988
"2011-03-30:12 AM",40.0663
"2011-03-31:12 AM",39.2711
"2011-04-01:12 AM",40.5995
"2011-04-02:12 AM",41.8766
"2011-04-03:12 AM",44.8038
"2011-04-04:12 AM",61.237
"2011-04-05:12 AM",54.4226
"2011-04-06:12 AM",46.6979
"2011-04-07:12 AM",54.4797
"2011-04-08:12 AM",48.2284
"2011-04-09:12 AM",44.4511
"2011-04-10:12 AM",53.9038
"2011-04-11:12 AM",69.6457
"2011-04-12:12 AM",59.5098
"2011-04-13:12 AM",51.8567
"2011-04-14:12 AM",52.9245
"2011-04-15:12 AM",55.2047
"2011-04-16:12 AM",55.7551
"2011-04-17:12 AM",51.7856
"2011-04-18:12 AM",60.3788
"2011-04-19:12 AM",63.8546
"2011-04-20:12 AM",70.1703
"2011-04-21:12 AM",52.3625
"2011-04-22:12 AM",44.6099
"2011-04-23:12 AM",59.4855
"2011-04-24:12 AM",70.4651
"2011-04-25:12 AM",72.2916
"2011-04-26:12 AM",73.2911
"2011-04-27:12 AM",72.7245
"2011-04-28:12 AM",67.3385
"2011-04-29:12 AM",58.1383
"2011-04-30:12 AM",53.5091
"2011-05-01:12 AM",54.9932
"2011-05-02:12 AM",64.2911
"2011-05-03:12 AM",72.5031
"2011-05-04:12 AM",51.5575
"2011-05-05:12 AM",52.7387
"2011-05-06:12 AM",57.4597
"2011-05-07:12 AM",59.1201
"2011-05-08:12 AM",57.9335
"2011-05-09:12 AM",59.5179
"2011-05-10:12 AM",58.3768
"2011-05-11:12 AM",59.981
"2011-05-12:12 AM",61.7855
"2011-05-13:12 AM",60.7235
"2011-05-14:12 AM",60.5115
"2011-05-15:12 AM",66.5474
"2011-05-16:12 AM",64.2079
"2011-05-17:12 AM",63.3452
"2011-05-18:12 AM",62.4753
"2011-05-19:12 AM",61.7954
"2011-05-20:12 AM",60.8864
"2011-05-21:12 AM",66.3328
"2011-05-22:12 AM",70.5749
"2011-05-23:12 AM",74.2222
"2011-05-24:12 AM",75.3993
"2011-05-25:12 AM",74.5002
"2011-05-26:12 AM",78.1695
"2011-05-27:12 AM",77.1139
"2011-05-28:12 AM",73.5134
"2011-05-29:12 AM",76.2224
"2011-05-30:12 AM",77.4216
"2011-05-31:12 AM",82.1165
"2011-06-01:12 AM",82.3163
"2011-06-02:12 AM",73.4882
"2011-06-03:12 AM",64.3852
"2011-06-04:12 AM",67.6692
"2011-06-05:12 AM",72.6944
"2011-06-06:12 AM",70.9426
"2011-06-07:12 AM",74.8967
"2011-06-08:12 AM",81.2372
"2011-06-09:12 AM",85.4663
"2011-06-10:12 AM",81.2844
"2011-06-11:12 AM",79.7995
"2011-06-12:12 AM",78.9706
"2011-06-13:12 AM",67.087
"2011-06-14:12 AM",66.349
"2011-06-15:12 AM",66.353
"2011-06-16:12 AM",67.4352
"2011-06-17:12 AM",72.9235
"2011-06-18:12 AM",75.3615
"2011-06-19:12 AM",74.5839
"2011-06-20:12 AM",66.7315
"2011-06-21:12 AM",76.0217
"2011-06-22:12 AM",80.3471
"2011-06-23:12 AM",78.4148
"2011-06-24:12 AM",77.9558
"2011-06-25:12 AM",73.62
"2011-06-26:12 AM",72.7344
"2011-06-27:12 AM",73.7672
"2011-06-28:12 AM",77.5598
"2011-06-29:12 AM",77.0207
"2011-06-30:12 AM",72.9977
"2011-07-01:12 AM",74.5461
"2011-07-02:12 AM",76.2445
"2011-07-03:12 AM",78.2434
"2011-07-04:12 AM",76.7399
"2011-07-05:12 AM",80.6076
"2011-07-06:12 AM",80.8214
"2011-07-07:12 AM",82.2155
"2011-07-08:12 AM",79.4565
"2011-07-09:12 AM",76.0852
"2011-07-10:12 AM",79.5704
"2011-07-11:12 AM",83.5853
"2011-07-12:12 AM",85.9568
"2011-07-13:12 AM",83.0502
"2011-07-14:12 AM",74.6245
"2011-07-15:12 AM",72.0806
"2011-07-16:12 AM",73.1809
"2011-07-17:12 AM",77.4126
"2011-07-18:12 AM",81.8249
"2011-07-19:12 AM",82.6997
"2011-07-20:12 AM",83.4521
"2011-07-21:12 AM",87.0084
"2011-07-22:12 AM",91.7231
"2011-07-23:12 AM",90.3335
"2011-07-24:12 AM",88.6771
"2011-07-25:12 AM",82.0567
"2011-07-26:12 AM",83.4125
"2011-07-27:12 AM",80.5001
"2011-07-28:12 AM",84.2891
"2011-07-29:12 AM",87.6573
"2011-07-30:12 AM",84.6559
"2011-07-31:12 AM",80.8097
"2011-08-01:12 AM",82.395
"2011-08-02:12 AM",79.6568
