"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2011-09-09:12 AM",62.1732
"2011-09-10:12 AM",61.6766
"2011-09-11:12 AM",64.2407
"2011-09-12:12 AM",65.0511
"2011-09-13:12 AM",66.9456
"2011-09-14:12 AM",63.57
"2011-09-15:12 AM",59.6219
"2011-09-16:12 AM",61.1526
"2011-09-17:12 AM",63.3765
"2011-09-18:12 AM",63.9405
"2011-09-19:12 AM",64.9861
"2011-09-20:12 AM",67.3425
"2011-09-21:12 AM",65.2813
"2011-09-22:12 AM",63.2912
"2011-09-23:12 AM",64.6412
"2011-09-24:12 AM",67.5232
"2011-09-25:12 AM",68.2617
"2011-09-26:12 AM",68.1354
"2011-09-27:12 AM",68.0639
"2011-09-28:12 AM",68.245
"2011-09-29:12 AM",68.488
"2011-09-30:12 AM",64.144
"2011-10-01:12 AM",64.1503
"2011-10-02:12 AM",63.4784
"2011-10-03:12 AM",63.3283
"2011-10-04:12 AM",59.2331
"2011-10-05:12 AM",57.3372
"2011-10-06:12 AM",57.2027
"2011-10-07:12 AM",53.2611
"2011-10-08:12 AM",48.5681
"2011-10-09:12 AM",48.5465
"2011-10-10:12 AM",50.8267
"2011-10-11:12 AM",55.7575
"2011-10-12:12 AM",57.4743
"2011-10-13:12 AM",57.9308
"2011-10-14:12 AM",60.4951
"2011-10-15:12 AM",61.2714
"2011-10-16:12 AM",62.5431
"2011-10-17:12 AM",60.7458
"2011-10-18:12 AM",51.2661
"2011-10-19:12 AM",49.5295
"2011-10-20:12 AM",55.528
"2011-10-21:12 AM",56.5599
"2011-10-22:12 AM",57.0061
"2011-10-23:12 AM",56.1416
"2011-10-24:12 AM",57.8898
"2011-10-25:12 AM",59.7268
"2011-10-26:12 AM",54.1198
"2011-10-27:12 AM",42.3527
"2011-10-28:12 AM",41.0832
"2011-10-29:12 AM",45.756
"2011-10-30:12 AM",49.1002
"2011-10-31:12 AM",50.3047
