DateTime,Temp
1981-11-16,48.4441
1981-11-17,48.4621
1981-11-18,42.9948
1981-11-19,36.1072
1981-11-20,36.0534
1981-11-21,40.3641
1981-11-22,43.1175
1981-11-23,42.4283
1981-11-24,42.5653
1981-11-25,38.8652
1981-11-26,31.8047
1981-11-27,30.4525
1981-11-28,31.0021
1981-11-29,32.0909
1981-11-30,31.6791
1981-12-01,30.4023
1981-12-02,34.9349
1981-12-03,35.9604
1981-12-04,35.5852
1981-12-05,38.9764
1981-12-06,42.6657
1981-12-07,42.6195
1981-12-08,41.1391
1981-12-09,42.0024
1981-12-10,42.8005
1981-12-11,39.1183
1981-12-12,35.0843
1981-12-13,33.8187
1981-12-14,33.4607
1981-12-15,34.3101
1981-12-16,32.1544
1981-12-17,27.2799
1981-12-18,28.3285
1981-12-19,34.6042
1981-12-20,39.9814
1981-12-21,38.2215
1981-12-22,30.0394
1981-12-23,24.531999999999996
1981-12-24,25.0718
1981-12-25,29.0563
1981-12-26,28.8727
1981-12-27,29.4015
1981-12-28,23.5002
1981-12-29,25.0362
1981-12-30,28.9917
1981-12-31,25.8559
1982-01-01,26.1109
1982-01-02,23.1467
1982-01-03,20.8526
1982-01-04,23.4651
1982-01-05,23.7522
1982-01-06,16.7963
1982-01-07,14.9383
1982-01-08,19.8401
1982-01-09,22.715999999999998
1982-01-10,17.56
1982-01-11,21.5499
1982-01-12,22.1927
1982-01-13,21.7206
1982-01-14,29.0667
1982-01-15,26.8376
1982-01-16,21.643
1982-01-17,31.3549
1982-01-18,31.7295
1982-01-19,26.9006
1982-01-20,24.7321
1982-01-21,22.2327
1982-01-22,19.3253
1982-01-23,20.6415
1982-01-24,30.7063
1982-01-25,33.6798
1982-01-26,37.755
1982-01-27,35.5568
1982-01-28,31.2724
1982-01-29,32.0752
1982-01-30,28.618000000000002
1982-01-31,29.3185
1982-02-01,28.0389
1982-02-02,23.7704
1982-02-03,17.6198
1982-02-04,11.9572
1982-02-05,10.0839
1982-02-06,16.3614
